threshold,all_patients,gold_patients,non_gold_patients,all_patients_perc,gold_patients_perc,non_gold_patients_perc,threshold,all_patients,gold_patients,non_gold_patients,all_patients,gold_patients,non_gold_patients,
1,0,0,0,0,0,0,1,0,0,0,,,,
0.99,11703,1526,10177,61.16017768487065,88.10623556581986,58.47842326035742,0.99,0.611601777,0.881062356,0.584784233,,,,
0.98,12355,1590,10765,64.56754638097728,91.80138568,61.85715106590818,0.98,0.645675464,0.918013857,0.618571511,0.034073687,0.036951501,0.033787278,
0.97,12799,1626,11173,66.88790175071858,93.87990762124711,64.20157444,0.97,0.668879018,0.938799076,0.642015744,0.023203554,0.020785219,0.023444234,
0.96,13018,1642,11376,68.03240135876666,94.80369515011547,65.36803999310463,0.96,0.680324014,0.948036952,0.6536804,0.011444996,0.009237875,0.011664656,
0.95,13234,1656,11578,69.16122288999216,95.61200923787528,66.52875940929725,0.95,0.691612229,0.956120092,0.665287594,0.011288215,0.008083141,0.011607194,0.125132235
0.94,13363,1663,11700,69.83538019336295,96.01616628,67.22978796759179,0.94,0.698353802,0.960161663,0.67229788,0.006741573,0.00404157,0.007010286,
0.9299999999999999,13479,1664,11815,70.44159916,96.07390300230946,67.89059357582026,0.93,0.704415992,0.96073903,0.678905936,0.00606219,0.000577367,0.006608056,
0.9199999999999999,13610,1667,11943,71.12620851842173,96.24711316397229,68.62609894845716,0.92,0.711262085,0.962471132,0.686260989,0.006846094,0.001732102,0.007355054,
0.9099999999999999,13740,1672,12068,71.80559184740005,96.53579676674366,69.34436591392289,0.91,0.718055918,0.965357968,0.693443659,0.006793833,0.002886836,0.00718267,
0.8999999999999999,13845,1675,12170,72.35432453619023,96.70900692840647,69.93047175774292,0.9,0.723543245,0.967090069,0.699304718,0.005487327,0.001732102,0.005861058,
0.8899999999999999,13920,1680,12240,72.74627645675463,96.99769053117782,70.33270125840372,0.89,0.727462765,0.969976905,0.703327013,0.003919519,0.002886836,0.004022295,
0.8799999999999999,14017,1684,12333,73.25320094068461,97.22863741339492,70.86709188071022,0.88,0.732532009,0.972286374,0.708670919,0.005069245,0.002309469,0.005343906,
0.8699999999999999,14070,1687,12383,73.53018029788346,97.40184757505773,71.15439866689651,0.87,0.735301803,0.974018476,0.711543987,0.002769794,0.001732102,0.002873068,
0.8599999999999999,14150,1688,12462,73.94826234648549,97.45958429561202,71.60834338907085,0.86,0.739482623,0.974595843,0.716083434,0.00418082,0.000577367,0.004539447,
0.8499999999999999,14191,1689,12502,74.16252939639404,97.51732101616628,71.83818881801987,0.85,0.741625294,0.97517321,0.718381888,0.00214267,0.000577367,0.002298454,
0.8399999999999999,14219,1690,12529,74.30885811340475,97.57505773672055,71.99333448256048,0.84,0.743088581,0.975750577,0.719933345,0.001463287,0.000577367,0.001551457,
0.8299999999999998,14237,1690,12547,74.40292657434021,97.57505773672055,72.09676492558754,0.83,0.744029266,0.975750577,0.720967649,0.000940685,0,0.001034304,
0.8199999999999998,14274,1690,12584,74.59628952181866,97.57505773672055,72.30937194736539,0.82,0.745962895,0.975750577,0.723093719,0.001933629,0,0.00212607,
0.8099999999999998,14299,1691,12608,74.72694016,97.63279445727483,72.44727920473481,0.81,0.747269402,0.976327945,0.724472792,0.001306506,0.000577367,0.001379073,
0.7999999999999998,14312,1692,12620,74.79487849490462,97.69053118,72.51623283341952,0.8,0.747948785,0.976905312,0.725162328,0.000679383,0.000577367,0.000689536,
0.7899999999999998,14327,1693,12634,74.87326888,97.74826789838336,72.59667873355168,0.79,0.748732689,0.977482679,0.725966787,0.000783904,0.000577367,0.000804459,
0.7799999999999998,14339,1694,12645,74.93598118630781,97.80600461893765,72.65988622651267,0.78,0.749359812,0.978060046,0.726598862,0.000627123,0.000577367,0.000632075,
0.7699999999999998,14348,1694,12654,74.98301541677554,97.80600461893765,72.71160145,0.77,0.749830154,0.978060046,0.727116014,0.000470342,0,0.000517152,
0.7599999999999998,14361,1694,12667,75.05095374967338,97.80600461893765,72.78630121243464,0.76,0.750509537,0.978060046,0.727863012,0.000679383,0,0.000746998,
0.7499999999999998,14376,1695,12681,75.12934413378626,97.86374133949192,72.86674711,0.75,0.751293441,0.978637413,0.728667471,0.000783904,0.000577367,0.000804459,
0.7399999999999998,14388,1696,12692,75.19205644107656,97.92147806004618,72.92995460552778,0.74,0.751920564,0.979214781,0.729299546,0.000627123,0.000577367,0.000632075,
0.7299999999999998,14401,1696,12705,75.25999477,97.92147806004618,73.00465436993622,0.73,0.752599948,0.979214781,0.730046544,0.000679383,0,0.000746998,
0.7199999999999998,14412,1696,12716,75.31748105565718,97.92147806004618,73.06786186,0.72,0.753174811,0.979214781,0.730678619,0.000574863,0,0.000632075,
0.7099999999999997,14423,1696,12727,75.37496733733995,97.92147806004618,73.13106935585819,0.71,0.753749673,0.979214781,0.731310694,0.000574863,0,0.000632075,
0.6999999999999997,14438,1698,12740,75.45335772145285,98.03695150115473,73.20576912026662,0.7,0.754533577,0.980369515,0.732057691,0.000783904,0.001154734,0.000746998,
0.6899999999999997,14444,1698,12746,75.48471387509798,98.03695150115473,73.24024593460898,0.69,0.754847139,0.980369515,0.732402459,0.000313562,0,0.000344768,
0.6799999999999997,14453,1698,12755,75.53174810556573,98.03695150115473,73.29196115612251,0.68,0.755317481,0.980369515,0.732919612,0.000470342,0,0.000517152,
0.6699999999999997,14473,1699,12774,75.63626861771623,98.09468822,73.40113773,0.67,0.756362686,0.980946882,0.734011377,0.001045205,0.000577367,0.001091766,
